Time spent on Internet,Daily Internet Usage,Country,City,Area Income,Male/Female,Age of people who use website,Timestamp,Ad Topic Line,Clicked on Ad,,,
78.32,239.52,Australia,Jamesfurt,49309.14,0,28,2016-06-26 11:52,Synergized cohesive array,1,,,
37.32,199.25,Chad,New Nancy,56735.14,1,50,2016-03-30 23:40,Versatile dedicated software,1,,,
40.42,133.9,Norway,Lisamouth,40183.75,1,45,2016-03-16 7:59,Stand-alone reciprocal synergy,1,,,
76.77,123.51,Turks and Caicos Islands,Harveyport,58348.41,0,36,2016-05-04 0:01,Universal even-keeled analyzer,1,,,
65.65,158.05,Finland,Ramosstad,72209.99,0,30,2016-07-02 21:22,Up-sized tertiary contingency,0,,,
74.32,128.17,South Africa,North Kevinside,62060.11,0,33,2016-05-23 21:14,Monitored real-time superstructure,1,,,
73.27,234.75,Martinique,Haleview,67113.46,1,32,2016-01-29 20:16,Streamlined analyzing initiative,0,,,
80.03,150.84,Afghanistan,Christinetown,24030.06,0,44,2016-07-23 14:47,Automated static concept,1,,,
53.68,115.26,Micronesia,New Michael,56180.93,1,47,2016-02-16 9:11,Operative stable moderator,1,,,
85.84,192.85,French Southern Territories,Jonesland,62204.93,1,32,2016-06-09 21:43,Up-sized 6thgeneration moratorium,0,,,
85.03,204.52,Philippines,North Shannon,60372.64,0,30,2016-06-19 9:24,Expanded clear-thinking core,0,,,
70.44,178.75,Algeria,New Sonialand,65280.16,1,24,2016-06-06 21:26,Polarized attitude-oriented superstructure,0,,,
81.22,223.09,San Marino,Port Jason,34309.24,1,53,2016-01-07 13:25,Networked coherent interface,0,,,
39.96,146.13,Guernsey,East Barbara,59610.81,1,45,2016-04-15 6:08,Enhanced homogeneous moderator,1,,,
57.05,269.96,Sierra Leone,Port Erinberg,50278.89,1,41,2016-01-09 3:45,Seamless full-range website,1,,,
42.44,168.27,Tajikistan,Petersonfurt,43450.11,0,56,2016-02-10 15:23,Profit-focused attitude-oriented task-force,1,,,
62.2,161.16,Liechtenstein,New Lindaberg,25408.21,0,25,2016-04-24 13:42,Cross-platform multimedia algorithm,1,,,
76.7,222.25,Ecuador,West Russell,71136.49,0,36,2016-06-12 5:31,Open-source coherent monitoring,0,,,
61.22,119.03,Switzerland,South Adam,63883.81,1,45,2016-01-05 9:42,Streamlined logistical secured line,1,,,
84.54,204.02,Moldova,North Tracyport,64902.47,1,33,2016-03-02 10:07,Synchronized stable complexity,0,,,
46.08,164.63,Finland,Brownport,66784.81,1,30,2016-07-21 10:54,Synergistic value-added extranet,1,,,
56.7,123.13,France,Port Crystal,62784.85,0,48,2016-01-09 4:53,Progressive non-volatile neural-net,1,,,
81.03,201.15,Venezuela,Masonhaven,63727.5,0,28,2016-01-06 13:20,Persevering tertiary capability,0,,,
80.91,231.42,Cuba,Derrickhaven,61608.23,0,32,2016-01-31 4:10,Enterprise-wide bi-directional secured line,0,,,
40.06,138.68,Peru,Olsonstad,56782.18,1,38,2016-06-11 8:38,Organized contextually-based customer loyalty,1,,,
83.47,226.11,Turkey,New Brandy,64447.77,0,39,2016-05-15 20:48,Total directional approach,0,,,
73.84,121.05,Albania,South Jasminebury,42042.95,0,31,2016-06-18 17:23,Programmable uniform productivity,1,,,
74.65,212.56,French Southern Territories,East Timothy,67669.06,0,28,2016-03-17 5:00,Robust transitional ability,0,,,
60.25,109.77,Papua New Guinea,Charlottefort,54875.95,0,35,2016-06-29 13:35,De-engineered fault-tolerant database,1,,,
59.21,144.62,Liechtenstein,Lake Beckyburgh,73347.67,1,35,2016-02-02 8:55,Managed disintermediate matrices,1,,,
43.02,125.22,Thailand,West Lindseybury,50199.77,0,44,2016-04-13 5:42,Configurable bottom-line application,1,,,
84.04,244.55,Malaysia,West Alyssa,50723.67,0,38,2016-07-20 9:27,Self-enabling didactic pricing structure,0,,,
70.66,120.95,Mauritius,Lake Craigview,63450.96,1,43,2016-02-26 4:57,Versatile scalable encryption,1,,,
70.58,136.94,Algeria,Lake David,56694.12,0,26,2016-02-26 9:18,Proactive next generation knowledge user,1,,,
72.44,230.14,Christmas Island,Bruceburgh,70547.16,0,34,2016-04-15 14:45,Customizable tangible hierarchy,0,,,
40.17,171.31,Japan,South Lauratown,47391.95,1,26,2016-02-01 14:37,Visionary asymmetric encryption,1,,,
79.15,203.23,Greenland,Port Robin,62312.23,0,26,2016-01-20 19:09,Intuitive explicit conglomeration,0,,,
44.49,168,Sao Tome and Principe,Jacksonburgh,63100.13,1,53,2016-04-23 6:28,Business-focused real-time toolset,1,,,
73.04,221.79,Senegal,Erinmouth,73687.5,1,37,2016-06-19 22:26,Organic contextually-based focus group,0,,,
76.28,254.34,Guadeloupe,Port Aliciabury,52686.47,0,33,2016-02-15 7:55,Right-sized asynchronous website,0,,,
68.88,179.58,Belgium,Port Whitneyhaven,78119.5,0,37,2016-02-09 19:37,Advanced 5thgeneration capability,0,,,
73.1,242.37,Israel,Jeffreyshire,57014.84,0,28,2016-01-25 7:52,Universal asymmetric archive,0,,,
47.66,156.54,Honduras,Tinaton,27086.4,0,29,2016-07-18 11:33,Devolved responsive structure,1,,,
87.3,216.87,Estonia,North Loriburgh,58337.18,0,35,2016-01-09 7:28,Triple-buffered regional toolset,0,,,
89.34,177.78,Paraguay,Wendyton,50216.01,1,32,2016-03-21 21:15,Object-based executive productivity,0,,,
81.37,156.48,Kyrgyz Republic,Lake Jacqueline,53049.44,1,26,2016-02-15 12:25,Business-focused responsive website,0,,,
81.67,196.76,Mauritania,North Christopher,62927.96,1,28,2016-03-04 8:48,Visionary analyzing structure,0,,,
46.37,144.27,French Guiana,Alexanderfurt,32847.53,0,52,2016-01-05 0:02,De-engineered solution-oriented open architecture,1,,,
54.88,148.61,Northern Mariana Islands,West Pamela,32006.82,0,24,2016-05-15 1:03,Customizable modular Internet solution,1,,,
40.67,133.18,Lebanon,West Amanda,48913.07,0,35,2016-05-05 9:28,Stand-alone encompassing throughput,1,,,
71.76,237.39,Saint Pierre and Miquelon,South Tomside,69285.69,0,35,2016-05-26 13:18,Customizable zero-defect matrix,0,,,
47.51,130.41,American Samoa,Bethburgh,53700.57,1,51,2016-05-21 1:36,Managed well-modulated collaboration,1,,,
75.15,212.87,Austria,Jamiefort,52011,1,22,2016-05-04 12:06,Universal global intranet,0,,,
56.01,127.26,Tonga,Garciamouth,46339.25,0,26,2016-07-05 18:59,Re-engineered real-time success,1,,,
82.87,213.36,Tonga,West Brenda,67938.77,0,37,2016-06-28 20:13,Front-line fresh-thinking open system,0,,,
45.05,141.36,French Southern Territories,South Kyle,66348.95,0,42,2016-05-05 11:09,Digitized contextually-based product,1,,,
60.53,167.22,Serbia,Combsstad,66873.9,0,24,2016-03-25 15:17,Organic interactive support,1,,,
50.52,171.62,New Caledonia,Lake Allenville,72270.88,0,31,2016-01-23 15:02,Function-based stable alliance,1,,,
84.71,210.23,Taiwan,Greenechester,61610.05,0,32,2016-05-29 7:29,Reactive responsive emulation,0,,,
55.2,159.46,United States of America,Jordantown,76560.59,1,39,2016-05-30 7:36,Exclusive zero tolerance alliance,1,,,
81.61,228.76,Morocco,Gravesport,62667.51,0,33,2016-04-17 15:46,Enterprise-wide local matrices,0,,,
71.55,163.99,Suriname,South Troy,75687.46,1,36,2016-07-20 23:08,Inverse next generation moratorium,0,,,
82.4,218.97,Macedonia,Lake Patrick,66744.65,1,36,2016-06-29 3:07,Implemented bifurcated workforce,0,,,
73.95,238.58,Wallis and Futuna,Millerland,67714.82,0,35,2016-04-10 14:48,Persevering even-keeled help-desk,0,,,
72.07,226.45,Chile,Port Jessicamouth,69710.51,0,31,2016-04-16 16:38,Grass-roots eco-centric instruction set,0,,,
80.39,214.74,Gabon,Paulport,66269.49,0,31,2016-05-03 8:21,Fully-configurable incremental Graphical User Interface,0,,,
65.8,231.49,Gabon,Clineshire,60843.32,1,25,2016-03-18 16:04,Expanded radical software,0,,,
69.97,250,Holy See (Vatican City State),Cynthiaside,55041.6,0,28,2016-05-22 0:01,Mandatory 3rdgeneration moderator,0,,,
52.62,176.52,Seychelles,Port Juan,73863.25,0,50,2016-02-01 20:30,Enterprise-wide foreground emulation,1,,,
39.25,152.36,Mayotte,Michellefort,62378.05,0,39,2016-01-23 17:39,Customer-focused incremental system engine,1,,,
77.56,130.83,Uganda,Port Angelamouth,63336.85,1,38,2016-05-19 3:52,Right-sized multi-tasking solution,1,,,
33.52,165.56,Cambodia,Jessicahaven,42191.61,0,43,2016-05-09 21:54,Vision-oriented optimizing middleware,1,,,
79.81,178.85,Antigua and Barbuda,North Daniel,56194.56,1,24,2016-05-31 11:44,Proactive context-sensitive project,1,,,
84.79,214.53,Cameroon,New Juan,61771.9,0,33,2016-03-30 19:09,Managed eco-centric encoding,0,,,
82.7,231.07,Somalia,Amyfurt,61383.79,0,35,2016-01-09 15:49,Visionary multi-tasking alliance,0,,,
84.88,186.48,Lebanon,Harrishaven,63924.82,0,32,2016-04-18 3:41,Ameliorated tangible hierarchy,0,,,
54.92,161.16,Saint Pierre and Miquelon,Roberttown,23975.35,0,54,2016-06-13 13:59,Extended interactive model,1,,,
76.56,221.53,Dominica,Jeremyshire,70179.11,1,34,2016-04-23 8:15,Universal bi-directional extranet,0,,,
69.74,243.37,Hungary,Birdshire,66524.8,0,49,2016-03-27 16:41,Enhanced maximized access,0,,,
75.55,169.4,Taiwan,New Amanda,41851.38,0,22,2016-02-19 7:29,Upgradable even-keeled challenge,1,,,
72.19,250.35,Saint Lucia,Curtisview,61275.18,1,33,2016-05-19 11:16,Synchronized national infrastructure,0,,,
84.29,232.54,Niue,Jacksonmouth,60638.38,0,41,2016-01-27 20:47,Re-contextualized systemic time-frame,0,,,
73.89,110.68,France,North April,47160.53,0,39,2016-04-20 0:41,Horizontal national architecture,1,,,
75.84,186.98,Cyprus,Hayesmouth,48537.18,0,21,2016-02-07 7:41,Reactive bi-directional workforce,0,,,
73.38,236.19,French Southern Territories,South Corey,53058.91,1,25,2016-04-21 9:30,Horizontal transitional challenge,0,,,
80.72,186.37,Costa Rica,Juliaport,68614.98,0,31,2016-04-19 5:15,Re-engineered neutral success,0,,,
62.06,105,Austria,Port Paultown,44174.25,0,44,2016-04-12 14:01,Adaptive contextually-based methodology,1,,,
51.5,135.31,Zambia,East Vincentstad,67050.16,0,34,2016-03-15 11:25,Configurable dynamic adapter,1,,,
90.97,180.77,Congo,Kimberlytown,54520.14,0,37,2016-02-16 18:21,Multi-lateral empowering throughput,0,,,
86.78,170.13,United States of America,New Steve,54952.42,1,30,2016-02-18 23:08,Fundamental zero tolerance solution,0,,,
66.18,243.61,Pitcairn Islands,New Johnberg,69476.42,0,35,2016-03-25 8:40,Proactive asymmetric definition,0,,,
84.33,240.95,Belize,Shawstad,54989.93,0,41,2016-03-16 0:28,Pre-emptive zero tolerance Local Area Network,0,,,
36.87,195.91,Anguilla,New Rebecca,29398.61,0,36,2016-01-28 11:50,Self-enabling incremental collaboration,1,,,
34.78,208.21,South Africa,Jeffreyburgh,42861.42,1,48,2016-03-24 2:01,Exclusive even-keeled moratorium,1,,,
76.84,231.59,Singapore,Faithview,65883.39,0,32,2016-03-03 22:31,Reduced incremental productivity,0,,,
67.05,220.92,Finland,Richardsontown,65421.39,0,25,2016-02-26 9:54,Realigned scalable standardization,0,,,
41.47,219.79,Martinique,Port Brookeland,60953.93,0,31,2016-07-06 15:56,Secured scalable Graphical User Interface,1,,,
80.71,200.58,Cameroon,East Christopherbury,58476.57,0,26,2016-06-24 5:50,Team-oriented context-sensitive installation,0,,,
80.09,214.08,Sweden,Port Christinemouth,66636.84,0,31,2016-05-23 21:00,Pre-emptive systematic budgetary management,0,,,
56.3,135.24,New Caledonia,South Meghan,67430.96,1,49,2016-02-03 19:12,Fully-configurable high-level implementation,1,,,
79.36,245.78,Bosnia and Herzegovina,Hessstad,57260.41,1,34,2016-04-28 22:54,Profound maximized workforce,0,,,
86.38,188.27,Singapore,Rhondaborough,66359.32,1,40,2016-03-19 14:57,Cross-platform 4thgeneration focus group,0,,,
38.94,142.67,Falkland Islands (Malvinas),Lewismouth,57587,1,41,2016-07-15 9:08,Optional mission-critical functionalities,1,,,
87.26,184.03,Bosnia and Herzegovina,New Paul,63060.55,0,35,2016-05-12 4:35,Multi-layered tangible portal,0,,,
75.32,233.6,Mauritius,Lake Angela,59998.5,1,28,2016-01-01 21:58,Reduced mobile structure,0,,,
74.38,220.05,Indonesia,East Graceland,74024.61,1,40,2016-03-13 13:50,Enhanced zero tolerance Graphic Interface,0,,,
65.9,211.39,Czech Republic,Hartport,60550.66,0,22,2016-07-16 14:13,De-engineered tertiary secured line,0,,,
36.31,168.92,Eritrea,East Yvonnechester,57983.3,0,47,2016-04-18 0:49,Reverse-engineered well-modulated capability,1,,,
72.23,115.35,Mexico,Burgessside,52736.33,0,48,2016-07-17 1:13,Integrated coherent pricing structure,1,,,
88.12,230.91,Gibraltar,Hurleyborough,46653.75,0,38,2016-02-17 7:05,Realigned next generation projection,0,,,
83.97,205.5,Haiti,Garychester,56986.73,1,28,2016-06-16 2:33,Reactive needs-based instruction set,0,,,
61.09,131.68,Falkland Islands (Malvinas),East Kevinbury,55336.18,1,26,2016-04-09 16:31,User-friendly well-modulated leverage,1,,,
65.77,218.61,Eritrea,Contrerasshire,42162.9,1,21,2016-03-18 17:35,Function-based fault-tolerant model,0,,,
81.58,199.39,Hong Kong,Erikville,39699.13,0,25,2016-05-11 22:02,Decentralized needs-based analyzer,0,,,
37.87,188.56,Gambia,Robertsonburgh,56394.82,1,52,2016-05-25 20:10,Phased analyzing emulation,1,,,
76.2,178.51,Barbados,Karenton,75044.35,0,37,2016-02-29 19:26,Multi-layered fresh-thinking process improvement,0,,,
60.91,184.94,Nauru,Port Kathleenfort,53309.61,0,19,2016-06-09 14:24,Upgradable directional system engine,1,,,
74.49,237.34,Peru,Lake Adrian,58996.12,0,28,2016-01-30 16:15,Persevering eco-centric flexibility,0,,,
73.71,211.38,El Salvador,New Sheila,56605.12,1,23,2016-02-15 5:35,Inverse local hub,0,,,
78.19,228.81,Libyan Arab Jamahiriya,Mollyport,62475.99,0,30,2016-01-31 6:14,Triple-buffered needs-based Local Area Network,0,,,
79.54,217.68,Cambodia,Sandraland,70492.6,1,44,2016-01-05 16:34,Centralized multi-state hierarchy,0,,,
74.87,126.97,Saint Barthelemy,Charlenetown,43698.53,0,52,2016-05-31 2:17,Public-key non-volatile implementation,1,,,
87.09,221.98,Reunion,Luischester,57737.51,1,36,2016-04-21 16:10,Synergized coherent interface,0,,,
37.45,167.86,Antigua and Barbuda,South Johnnymouth,31281.01,0,47,2016-04-10 3:30,Horizontal high-level concept,1,,,
49.84,111.59,Samoa,Hannaport,45800.48,0,39,2016-02-09 7:21,Reduced multimedia project,1,,,
51.38,158.56,Afghanistan,East Anthony,42362.49,0,59,2016-06-17 17:11,Object-based modular functionalities,1,,,
83.4,207.87,Azerbaijan,West Daleborough,66691.23,0,34,2016-05-22 21:54,Polarized multimedia system engine,0,,,
38.91,150.8,Philippines,Morrismouth,56369.74,1,33,2016-07-13 7:41,Versatile reciprocal structure,1,,,
62.14,110.93,Angola,North Andrewstad,59397.89,1,41,2016-01-23 18:59,Upgradable multi-tasking initiative,1,,,
79.72,193.8,Albania,Wrightburgh,66025.11,1,28,2016-05-20 12:17,Configurable tertiary budgetary management,0,,,
73.3,135.72,Hungary,West Tanya,68211.35,1,36,2016-01-30 4:38,Adaptive asynchronous attitude,1,,,
69.11,231.48,Faroe Islands,Novaktown,73608.99,1,42,2016-04-21 12:34,Face-to-face mission-critical definition,0,,,
71.9,140.15,Czech Republic,Timothymouth,61228.96,1,54,2016-04-22 20:32,Inverse zero tolerance customer loyalty,1,,,
72.45,195.36,Svalbard & Jan Mayen Islands,Robertmouth,72325.91,1,29,2016-01-11 6:02,Centralized 24hour synergy,0,,,
77.07,261.02,Afghanistan,Stephenborough,44559.43,0,40,2016-03-01 10:01,Face-to-face analyzing encryption,0,,,
74.62,217.79,Rwanda,Lake Kurtmouth,73207.15,0,36,2016-04-04 8:19,Self-enabling even-keeled methodology,0,,,
82.07,205.38,Panama,Lauraburgh,46722.07,1,25,2016-06-20 6:30,Function-based optimizing extranet,0,,,
58.6,113.7,Samoa,Rogerburgh,45400.5,0,50,2016-01-28 7:10,Organic asynchronous hierarchy,1,,,
36.08,151.47,United States Minor Outlying Islands,Davidside,41417.27,1,45,2016-07-03 4:11,Automated client-driven orchestration,1,,,
79.44,206.79,Greece,West Thomas,60845.55,0,26,2016-05-15 13:18,Public-key zero-defect analyzer,0,,,
41.73,144.71,Cote d'Ivoire,Andersonchester,60812.77,0,47,2016-04-08 22:48,Proactive client-server productivity,1,,,
73.19,203.74,Pakistan,North Ronaldshire,64267.88,1,25,2016-01-19 12:18,Cloned incremental matrices,0,,,
77.6,197.33,Anguilla,Greghaven,58151.87,1,24,2016-05-26 15:40,Open-architected system-worthy task-force,0,,,
89,222.26,Cyprus,Jordanmouth,52079.18,1,37,2016-01-26 15:56,Devolved regional moderator,0,,,
69.2,123.8,Peru,Meyersstad,26023.99,0,42,2016-06-17 9:58,Balanced value-added database,1,,,
67.56,125.45,Kenya,Michelleside,62318.38,0,31,2016-04-25 21:15,Seamless composite budgetary management,1,,,
81.11,248.19,Chad,South Robert,56216.57,1,39,2016-07-13 11:41,Total cohesive moratorium,0,,,
80.22,224.58,Kyrgyz Republic,New Tyler,61806.31,0,30,2016-07-05 15:14,Integrated motivating neural-net,0,,,
43.63,123.25,Albania,Jordanshire,51662.24,1,41,2016-03-15 14:06,Exclusive zero tolerance frame,1,,,
77.66,168.15,Gabon,Reyesland,67080.94,0,29,2016-06-19 22:08,Operative scalable emulation,0,,,
74.63,235.99,Dominican Republic,New Traceystad,51975.41,1,26,2016-07-05 20:16,Enhanced asymmetric installation,0,,,
49.67,153.69,Zimbabwe,Port Brian,28019.09,0,27,2016-05-09 8:44,Face-to-face reciprocal methodology,1,,,
80.59,224.23,Croatia,Lake Courtney,67744.56,0,37,2016-07-21 23:14,Robust responsive collaboration,0,,,
83.49,190.75,Cambodia,Samuelborough,66574,1,33,2016-06-03 17:32,Polarized logistical hub,0,,,
44.46,132.66,Mongolia,Christinehaven,30487.48,1,42,2016-01-15 19:40,Intuitive zero-defect framework,1,,,
68.1,227.73,Honduras,Thomasstad,74903.41,1,40,2016-02-05 16:50,Reactive composite project,0,,,
63.88,136.85,Madagascar,Kristintown,19991.72,0,38,2016-02-29 23:56,Upgradable even-keeled hardware,1,,,
78.83,234.64,Qatar,New Wanda,66050.63,1,36,2016-05-08 12:08,Future-proofed responsive matrix,0,,,
79.97,216,China,Mariebury,70449.04,0,44,2016-07-13 1:48,Programmable empowering middleware,0,,,
80.51,200.28,Bangladesh,Christopherville,64008.55,1,28,2016-01-08 2:34,Robust dedicated system engine,0,,,
62.26,202.77,Swaziland,New Jasmine,70203.74,0,26,2016-06-08 12:25,Public-key mission-critical core,0,,,
66.99,124.44,Tanzania,Lopezberg,27262.51,1,47,2016-06-15 11:56,Operative actuating installation,1,,,
71.05,204.22,Eritrea,Jenniferstad,49544.41,1,20,2016-06-13 22:41,Self-enabling asynchronous knowledge user,0,,,
42.05,174.55,Canada,West Eduardotown,28357.27,1,51,2016-06-20 14:20,Configurable 24/7 hub,1,,,
50.52,219.69,Saint Kitts and Nevis,Davisfurt,66929.03,0,28,2016-04-03 6:17,Versatile responsive knowledge user,1,,,
76.24,198.32,Burkina Faso,Bakerhaven,75524.78,1,40,2016-05-31 23:42,Managed impactful definition,0,,,
77.29,201.24,Tuvalu,Paulshire,66265.34,1,27,2016-02-15 3:43,Grass-roots 4thgeneration forecast,0,,,
35.98,165.52,El Salvador,West Jane,55993.68,1,47,2016-03-10 23:26,Focused 3rdgeneration pricing structure,1,,,
84.95,230.36,Madagascar,Lake Brian,56379.3,0,34,2016-02-26 17:01,Mandatory dedicated data-warehouse,0,,,
39.34,148.93,Bangladesh,Alvaradoport,31215.88,0,43,2016-04-17 21:39,Proactive radical support,1,,,
87.23,202.12,American Samoa,Lake Kevin,51015.11,0,29,2016-03-26 19:54,Re-engineered responsive definition,0,,,
57.24,117.35,Latvia,Richardsonland,46473.14,1,52,2016-06-29 21:39,Profound optimizing utilization,1,,,
81.58,248.16,Moldova,East Sheriville,55479.62,0,41,2016-01-27 17:55,Cloned explicit middleware,0,,,
56.34,139.02,Anguilla,Port Michealburgh,68713.7,1,50,2016-03-17 23:39,Multi-channeled mission-critical success,1,,,
48.73,142.04,Bangladesh,Monicaview,34191.23,0,27,2016-07-09 16:23,Versatile content-based protocol,1,,,
51.68,258.62,Faroe Islands,Katieport,51067.54,0,49,2016-06-28 12:51,Seamless cohesive conglomeration,1,,,
35.34,152.86,Taiwan,East Brittanyville,46693.76,0,45,2016-06-18 16:32,De-engineered actuating hierarchy,1,,,
48.09,180.42,Heard Island and McDonald Islands,West Travismouth,19345.36,0,33,2016-05-28 12:38,Balanced motivating help-desk,1,,,
78.68,208.05,Israel,Leonchester,66225.72,0,29,2016-01-16 16:40,Inverse high-level capability,0,,,
68.82,205.64,Bolivia,Ramirezland,38609.2,1,20,2016-07-11 15:45,Cross-platform client-server hierarchy,0,,,
56.99,108.15,Bahamas,Brownton,37713.23,0,40,2016-07-16 23:08,Sharable optimal capacity,1,,,
86.63,209.64,Costa Rica,New Jessicaport,63764.28,1,39,2016-04-06 21:20,Face-to-face multimedia success,0,,,
41.18,129.25,Myanmar,New Denisebury,41866.55,1,43,2016-07-05 0:54,Enterprise-wide incremental Internet solution,1,,,
71.03,120.85,Netherlands Antilles,Keithtown,57846.68,0,32,2016-02-17 23:47,Advanced systemic productivity,1,,,
72.92,217.1,Czech Republic,Port Melissastad,69428.73,1,29,2016-03-15 17:33,Customizable mission-critical adapter,0,,,
77.14,184.88,Iceland,Janiceview,60283.98,1,24,2016-01-21 18:51,Horizontal heuristic synergy,0,,,
60.7,192.6,Palau,Mataberg,79332.33,1,43,2016-06-06 22:41,Multi-tiered multi-state moderator,0,,,
34.3,160.74,Libyan Arab Jamahiriya,West Melaniefurt,53167.68,1,41,2016-05-16 14:50,Re-contextualized reciprocal interface,1,,,
83.71,220.48,Kazakhstan,Millerfort,64564.07,1,45,2016-04-17 19:10,Organized demand-driven knowledgebase,0,,,
53.38,120.06,French Guiana,Alexanderview,60803.37,1,35,2016-03-30 1:05,Total local synergy,1,,,
58.03,129.33,Tuvalu,South Jade,28387.42,0,31,2016-06-29 9:04,User-friendly bandwidth-monitored attitude,1,,,
43.59,132.31,Congo,Lake Susan,58849.77,1,36,2016-05-26 13:43,Re-engineered context-sensitive knowledge user,1,,,
60.07,120.75,United Kingdom,South Vincentchester,65963.37,1,42,2016-04-15 10:16,Total user-facing hierarchy,1,,,
54.43,154.74,Luxembourg,Williamsmouth,75180.2,1,37,2016-05-31 9:06,Balanced contextually-based pricing structure,1,,,
81.99,230.9,French Polynesia,Taylorport,61270.14,0,33,2016-02-15 14:13,Inverse bi-directional knowledge user,0,,,
60.53,123.28,Papua New Guinea,Williamsport,56759.48,0,29,2016-05-09 10:21,Networked even-keeled workforce,1,,,
84.69,231.85,Maldives,Emilyfurt,46160.63,1,31,2016-07-07 23:32,Right-sized transitional parallelism,0,,,
88.72,211.87,Zambia,East John,43870.51,1,32,2016-01-03 17:10,Customer-focused system-worthy superstructure,0,,,
88.89,218.8,Cook Islands,East Deborahhaven,50439.49,1,35,2016-07-17 18:55,Balanced 4thgeneration success,0,,,
69.58,255.07,Congo,Port Katelynview,28028.74,0,43,2016-04-04 18:36,Cross-group value-added success,1,,,
85.23,212.92,Senegal,Paulhaven,64238.71,1,36,2016-02-27 12:34,Visionary client-driven installation,0,,,
83.55,221.18,Myanmar,Elizabethmouth,65816.38,1,39,2016-06-08 20:13,Switchable well-modulated infrastructure,0,,,
56.66,139.42,Dominican Republic,Lake Jesus,72684.44,0,42,2016-02-20 10:52,Upgradable asymmetric emulation,1,,,
56.39,248.12,Bahrain,North Tylerland,38817.4,1,27,2016-03-23 21:06,Configurable tertiary capability,0,,,
76.24,214.42,Puerto Rico,Munozberg,63976.44,0,27,2016-06-07 1:29,Monitored dynamic instruction set,0,,,
57.64,110.25,Chile,North Maryland,37212.54,1,36,2016-01-18 15:18,Robust web-enabled attitude,1,,,
78.18,167.67,Bolivia,West Barbara,52691.79,0,23,2016-06-09 19:32,Customer-focused full-range neural-net,0,,,
46.04,147.92,Serbia,Andrewborough,65499.93,0,32,2016-05-30 20:07,Universal transitional Graphical User Interface,1,,,
79.4,236.87,Malaysia,New Gabriel,63966.72,0,35,2016-04-01 9:21,User-centric intangible contingency,0,,,
36.44,147.64,Estonia,Port Patrickton,52400.88,1,39,2016-05-31 6:21,Configurable disintermediate throughput,1,,,
53.14,109,Greenland,West Julia,49111.47,1,38,2016-07-03 22:13,Automated web-enabled migration,1,,,
32.84,171.72,Trinidad and Tobago,New Keithburgh,41232.89,0,40,2016-03-10 1:36,Triple-buffered 3rdgeneration migration,1,,,
73.72,256.4,Thailand,Richardsland,52140.04,1,32,2016-03-18 2:39,Universal contextually-based system engine,0,,,
38.1,214.38,Philippines,North Aaronchester,60641.09,1,34,2016-05-30 18:08,Optional secondary access,1,,,
73.93,218.22,Niue,Lake Matthewland,74180.05,0,44,2016-02-20 0:06,Quality-focused scalable utilization,0,,,
51.87,119.65,Afghanistan,Kevinberg,51869.87,0,50,2016-03-10 22:28,Team-oriented dynamic forecast,1,,,
77.69,169.88,Angola,Morganfort,48852.58,1,22,2016-06-21 14:32,Horizontal heuristic support,0,,,
43.41,160.73,Egypt,Lovemouth,59144.02,0,28,2016-02-05 15:26,Customer-focused zero-defect process improvement,1,,,
55.92,145.08,Fiji,Taylorhaven,33951.63,0,24,2016-05-31 21:41,Focused systemic benchmark,1,,,
80.67,239.76,Portugal,Jamesville,58909.36,0,34,2016-01-01 2:52,Seamless impactful info-mediaries,0,,,
83.42,183.42,Austria,East Toddfort,49850.52,1,25,2016-03-04 14:10,Advanced heuristic firmware,0,,,
82.12,201.15,Germany,East Dana,28679.93,1,52,2016-02-03 10:40,Fully-configurable client-driven customer loyalty,1,,,
66.17,238.45,Panama,West Lucas,69869.66,0,33,2016-01-20 0:26,Cross-group neutral synergy,0,,,
43.01,127.37,United States of America,Butlerfort,48347.64,0,35,2016-06-11 9:37,Organized 24/7 middleware,1,,,
80.05,219.94,Christmas Island,Lindaside,45959.86,1,25,2016-03-08 5:48,Networked stable open architecture,0,,,
64.88,129.8,Equatorial Guinea,West Chloeborough,70005.51,1,42,2016-02-14 22:23,Customizable systematic service-desk,1,,,
79.82,223.28,Micronesia,Jayville,51512.66,1,26,2016-07-17 22:04,Function-based directional productivity,0,,,
48.03,134.6,Malta,East Lindsey,25598.75,1,40,2016-06-02 22:16,Networked stable array,1,,,
32.99,177.46,Ecuador,Masseyshire,49282.87,0,45,2016-04-30 19:42,Phased full-range hardware,1,,,
74.88,175.17,Sudan,Sarahton,67240.25,1,27,2016-04-17 6:58,Organized empowering policy,0,,,
36.49,196.61,Lao People's Democratic Republic,Ryanhaven,42136.33,1,52,2016-03-09 0:41,Object-based system-worthy superstructure,1,,,
88.04,191.17,Saint Vincent and the Grenadines,Lake Deborahburgh,62589.84,1,45,2016-03-07 20:02,Profound explicit hardware,0,,,
45.7,151.12,Switzerland,New Williammouth,67384.31,1,33,2016-05-26 10:33,Self-enabling multimedia system engine,1,,,
82.38,159.6,Spain,Port Blake,25603.93,0,35,2016-07-18 1:36,Polarized analyzing intranet,1,,,
52.68,149.2,Turks and Caicos Islands,West Richard,39616,1,23,2016-07-16 5:56,Vision-oriented attitude-oriented Internet solution,1,,,
65.59,121.81,Indonesia,Brandymouth,28265.81,0,47,2016-03-22 6:41,Digitized disintermediate ability,1,,,
